Curricular_units_2nd_sem_approved,Tuition_fees_up_to_date,Course_Technology,Mother_qualification_Others,Scholarship_holder,Application_mode_First_Phase,Course_Others,Debtor,Father_occupation_Others,Course_Communication,Curricular_units_1st_sem_credited,GDP,Course_Nature,Gender,Course_Social_Service,enrollment_age,Course_Management,Curricular_units_2nd_sem_without_evaluations,Application_order,Previous_qualification_grade,Application_mode_OverAge,Educational_special_needs,Inflation_rate,Admission_grade,Application_mode_Last_Phase,Application_mode_Transfer,Previous_qualification_Graduation_plus,Mother_qualification_Graduation_plus,Course_Medical,Nacionality,Application_mode_Courses_Holders,Mother_qualification_Basic_Education,Displaced,Father_occupation_Skilled,Application_mode_Course_Change,morning_attendance,Father_occupation_Unskilled,Mother_qualification_High_School_Eq,Father_occupation_Highly_Skilled,Curricular_units_1st_sem_without_evaluations,Marital_status,Target
0,1,1,0,0,0,0,0,0,0,0,1.74,0,1,0,20,0,0,5,122.0,0,0,1.4,127.3,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1
6,0,0,0,0,0,1,0,0,0,0,0.79,0,1,0,19,0,0,1,160.0,0,0,-0.3,142.5,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
0,0,0,0,0,1,0,0,0,1,0,1.74,0,1,0,19,0,0,5,122.0,0,0,1.4,124.8,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1
5,1,0,0,0,0,0,0,0,1,0,-3.12,0,0,0,20,0,0,2,122.0,0,0,-0.8,119.6,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,0.79,0,0,1,45,0,0,1,100.0,1,0,-0.3,141.5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
5,1,0,0,0,0,0,1,0,0,0,-0.92,0,1,0,50,1,5,1,133.1,1,0,0.3,114.8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
8,1,0,0,1,1,0,0,0,0,0,-4.06,0,0,0,18,0,0,1,142.0,0,0,2.8,128.4,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,-4.06,0,1,0,22,0,0,4,119.0,0,0,2.8,113.1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1
6,1,0,0,1,1,0,0,0,0,0,-0.92,0,0,1,21,0,0,3,137.0,0,0,0.3,129.3,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0
2,0,0,0,0,1,0,1,0,0,0,3.51,0,0,1,18,0,0,1,138.0,0,0,1.4,123.0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1
5,1,0,0,0,1,0,0,0,0,0,0.79,0,0,0,18,1,0,1,139.0,0,0,-0.3,130.6,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
7,1,0,0,1,1,0,0,0,0,0,-1.7,0,0,0,18,0,0,1,136.0,0,0,3.7,119.3,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
0,1,0,0,0,1,1,0,0,0,0,-1.7,0,0,0,19,0,0,2,133.0,0,0,3.7,130.2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1
5,1,0,0,1,0,1,0,0,0,0,3.51,0,0,0,21,0,0,1,110.0,0,0,1.4,111.8,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0
5,1,0,0,1,1,0,0,0,0,0,1.74,0,0,0,18,0,0,1,149.0,0,0,1.4,137.1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,1,0,-4.06,0,0,0,20,0,0,1,127.0,0,0,2.8,120.7,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1
2,1,0,0,0,0,0,0,0,0,0,1.74,0,0,1,18,0,0,1,137.0,0,0,1.4,137.4,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0,-4.06,0,0,0,18,0,0,2,135.0,0,0,2.8,127.3,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
4,1,0,0,0,1,0,0,0,0,0,1.74,1,0,0,20,0,2,1,137.0,0,0,1.4,136.3,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0
6,1,0,0,0,1,1,0,0,0,0,-0.92,0,0,0,18,0,0,1,140.0,0,0,0.3,124.6,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
0,1,1,0,1,1,0,0,0,0,0,2.02,0,0,0,21,0,0,3,122.0,0,0,0.6,120.3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0,-1.7,0,0,0,20,0,0,4,127.0,0,0,3.7,121.8,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
7,1,0,0,0,1,0,0,0,0,0,-1.7,0,0,0,18,0,0,4,142.0,0,0,3.7,125.5,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0
6,1,0,0,1,1,0,0,0,0,0,2.02,0,0,0,19,1,0,4,125.0,0,0,0.6,114.9,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
7,1,0,0,0,1,0,0,0,0,0,2.02,0,0,0,19,0,0,1,126.0,0,0,0.6,123.9,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
4,1,0,0,1,1,0,1,0,0,0,0.32,0,0,1,18,0,0,1,151.0,0,0,2.6,157.0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,-0.92,0,0,1,21,0,0,2,115.0,0,0,0.3,116.4,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
4,1,0,0,0,1,0,0,0,0,0,-3.12,0,0,0,18,0,0,1,138.0,0,0,-0.8,131.0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,2,0,0
5,1,0,0,0,1,0,0,0,0,0,-0.92,0,0,0,20,1,0,1,135.0,0,0,0.3,122.1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
